tenure,InternetService,OnlineSecurity,TechSupport,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Tenure_Monthly,gender,Churn
-1.2774445836787656,0,0,0,0,2,-1.1603229160349193,-0.3986075939976442,-0.9934480627412883,0,0
0.06632741908223598,0,2,0,1,3,-0.2596289419448806,-0.9487623815517401,-0.15158796287645654,1,0
-1.2367242199587352,0,2,0,0,3,-0.3626603559551803,-1.6418832832921746,-0.959070655112199,1,1
0.5142514200025698,0,2,2,1,0,-0.7465354629935549,-0.9837096539084006,-0.1660719573560214,1,0
-1.2367242199587352,1,0,0,0,2,0.19736523310080326,-1.2352241140510334,-0.9441892339548411,0,1
-0.9924020376385531,1,0,0,0,2,1.1595456961969886,1.5070777576935885,-0.654597661403053,0,1
-0.4223169455581282,1,0,0,0,1,0.8089065291619363,-0.9042840349159902,-0.14103407665506623,1,0
-0.9109613101984924,0,2,0,0,3,-1.1636465100352518,-0.3435391648295731,-0.8752577846176436,0,0
-0.1779947632379461,1,0,2,0,2,1.330710787214099,-0.3239475121447785,0.28915822279591286,0,1
1.2064976032430856,0,2,0,1,0,-0.28621769394753876,-0.12485396053713652,0.5306611673347554,1,0
-0.7888002190384014,0,2,0,0,3,-0.4922805219681379,0.828782971498404,-0.7198860328604819,1,0
-0.6666391278783103,2,1,1,2,1,-1.5225946620711341,-0.22334172808772537,-0.8727407489916217,1,0
1.0436161483629645,1,0,0,1,1,1.182810854199314,0.759947435038315,1.5635289443988487,1,0
0.6771328748826912,1,0,0,0,0,1.2941512532104444,0.5333196688466374,1.2371974834110915,1,1
-0.30015585439803716,1,2,2,0,2,1.3539759452164248,-0.48756428726914386,0.15805157764399771,1,0
1.4915401492832983,1,2,2,2,1,1.611554480242174,1.4302996593342585,2.444027749049105,0,0
0.7992939660427822,2,1,1,1,3,-1.4660935640654862,-1.700658241346558,-0.5324551957613564,0,0
1.5729808767233588,1,2,0,2,0,1.393859073220412,1.2952761070471608,2.338687600174099,1,0
-0.9109613101984924,0,0,2,0,1,-0.31779183695069496,0.6132747919656638,-0.7628743518417515,0,1
-0.46303730927815856,1,0,0,0,2,0.8404806721650927,-0.9662360177300703,-0.17156969306549041,0,0
-1.2774445836787656,0,0,0,0,2,-0.8346107040023594,0.043528351726773454,-0.9891205278053206,1,1
-0.8295205827584317,2,1,1,1,0,-1.4943441130683104,-0.8508041181277672,-0.9017087379507515,1,0
-1.2774445836787656,2,1,1,0,3,-1.4827115340671475,-0.8730432914456422,-0.997731439157501,1,1
1.0436161483629645,0,0,2,2,1,-0.1615829189350795,-0.11479338213143121,0.5275259124321666,0,0
0.6771328748826912,0,2,2,0,1,-0.17155370093607614,-0.365778338147448,0.2829760300302449,1,0
